Date,MMM,ABT,ABBV,ABMD,ACN,ATVI,ADBE,AMD,AAP,AES
2010-01-04,65.24075317382811,20.632226943969727,,8.739999771118164,34.14825439453125,10.193224906921387,37.09000015258789,9.699999809265137,39.43492889404297,11.029047012329102
2010-01-05,64.83211517333984,20.46553039550781,,8.529999732971191,34.35930633544922,10.21126651763916,37.70000076293945,9.710000038146973,39.20055389404297,10.916092872619627
2010-01-06,65.75155639648439,20.57918739318848,,8.399999618530272,34.72457504272461,10.157143592834473,37.61999893188477,9.56999969482422,39.5423698425293,10.803139686584473
2010-01-07,65.79869842529297,20.74967193603516,,8.399999618530272,34.692100524902344,9.91358757019043,36.88999938964844,9.470000267028807,39.53260040283203,10.81120777130127
2010-01-08,66.26234436035156,20.855749130249023,,8.229999542236326,34.55411529541016,9.832404136657717,36.68999862670898,9.43000030517578,39.68884658813477,11.11779499053955
2010-01-11,65.99514770507811,20.961828231811523,,8.079999923706055,34.521652221679695,9.823382377624512,36.209999084472656,9.140000343322754,39.29819869995117,11.190407752990724
2010-01-12,66.05016326904297,20.90121078491211,,7.889999866485597,34.302490234375,9.71513557434082,35.65999984741211,8.649999618530272,38.61458969116211,11.061320304870604
2010-01-13,65.83798217773439,21.09964942932129,,7.960000038146973,34.692100524902344,9.841424942016602,36.27999877929688,9.149999618530273,39.15171813964844,11.359838485717773
2010-01-14,65.61795043945311,21.12254905700684,,8.25,35.00054931640625,9.796320915222168,35.900001525878906,9.0,38.63412094116211,11.367907524108887
2010-01-15,65.51577758789061,21.175973892211914,,8.050000190734862,34.74892044067383,9.823382377624512,35.86999893188477,8.84000015258789,38.389984130859375,11.327564239501953
2010-01-19,66.89101409912111,21.44692611694336,,8.350000381469728,35.51192092895508,9.778279304504396,36.95000076293945,9.010000228881836,38.575538635253906,11.400179862976074
2010-01-20,66.57669067382811,21.462182998657227,,8.479999542236326,35.31710433959961,9.76023769378662,36.4900016784668,8.869999885559082,38.24348831176758,11.061320304870604
2010-01-21,64.9892578125,21.202682495117188,,8.510000228881836,34.9761962890625,9.552767753601074,35.81999969482422,8.989999771118164,38.31184387207031,10.78700351715088
2010-01-22,64.03053283691406,20.80198860168457,,8.449999809265138,34.237548828125,9.354314804077148,34.380001068115234,7.880000114440918,38.80990982055664,10.50462245941162
2010-01-25,64.30562591552734,20.874496459960934,,8.25,33.99404525756836,9.128798484802246,34.15999984741211,8.069999694824219,39.55212020874024,10.8192777633667
2010-01-26,64.14839935302734,20.79054069519043,,8.149999618530272,33.95345687866211,9.029573440551758,33.939998626708984,8.090000152587889,39.6009521484375,10.544961929321287
2010-01-27,64.6749267578125,20.56919860839844,,8.270000457763674,34.03462600708008,9.345293045043944,33.139999389648445,8.189999580383299,39.64002227783203,10.391667366027832
2010-01-28,63.4568977355957,20.588281631469727,,8.180000305175781,33.51512908935547,9.246068000793457,32.889999389648445,7.880000114440918,38.83922576904297,10.230308532714844
2010-01-29,63.25256729125977,20.202852249145508,,7.920000076293945,33.27162551879883,9.164881706237793,32.299999237060554,7.460000038146973,38.52669525146485,10.189966201782227
2010-02-01,63.21325302124024,20.355491638183594,,7.929999828338622,33.43396759033203,9.092717170715332,32.47999954223633,7.980000019073486,39.5423698425293,10.399738311767578
2010-02-02,63.20541381835938,20.775278091430664,,8.029999732971191,33.78300094604492,9.246068000793457,32.97999954223633,7.9099998474121085,40.22597122192383,10.585304260253906
2010-02-03,64.0462646484375,20.855419158935547,,8.010000228881836,33.76676559448242,9.43549919128418,32.97999954223633,7.809999942779541,40.22597122192383,10.407803535461426
2010-02-04,62.24668884277344,20.538673400878906,,8.270000457763674,32.96317672729492,9.164881706237793,32.240001678466804,7.190000057220459,39.97205352783203,9.552589416503906
2010-02-05,61.72017288208008,20.595911026000977,,8.430000305175781,32.906356811523445,9.209983825683594,32.77000045776367,7.3499999046325675,39.7669792175293,9.46384334564209
2010-02-08,60.92646789550781,20.359317779541016,,8.859999656677246,32.60603713989258,9.164881706237793,32.049999237060554,7.420000076293945,39.85486602783203,9.479979515075684
2010-02-09,61.86160278320313,20.359317779541016,,9.34000015258789,32.662853240966804,9.065656661987305,32.310001373291016,7.539999961853027,40.59708786010742,9.786564826965332
2010-02-10,61.78302383422852,20.32496833801269,,9.520000457763672,32.48427963256836,9.110758781433104,32.759998321533196,7.639999866485597,41.33930587768555,9.633273124694824
2010-02-11,63.07966613769531,20.43182182312012,,9.59000015258789,32.687206268310554,9.98575210571289,32.639999389648445,7.8400001525878915,41.55415725708008,9.641338348388672
2010-02-12,62.22308731079102,20.58065223693848,,9.65999984741211,32.865779876708984,10.02183437347412,31.45000076293945,7.869999885559082,41.80805587768555,9.496113777160645
2010-02-16,63.23686981201172,20.832517623901367,,9.8100004196167,33.14988327026367,9.931628227233887,31.809999465942386,8.060000419616701,41.632286071777344,9.560657501220703
2010-02-17,63.39108657836914,20.893577575683594,,9.859999656677246,33.109283447265625,10.057916641235352,32.330001831054695,8.029999732971191,41.87643432617188,9.705883979797363
2010-02-18,64.15836334228516,20.977527618408203,,9.989999771118164,33.53137588500977,9.920763969421387,33.240001678466804,7.949999809265138,39.2103157043457,9.705883979797363
2010-02-19,64.48268127441406,20.752382278442386,,9.949999809265137,33.174224853515625,9.8659029006958,33.880001068115234,7.929999828338622,39.063812255859375,9.826906204223633
2010-02-22,63.81822967529297,20.760013580322266,,10.020000457763672,33.036231994628906,9.7196044921875,33.700000762939446,7.9000000953674325,39.29819869995117,9.681680679321287
